week,asset_type,language,title_or_topic,target_keyword,status
1,Landing page,French,Implants dentaires en Albanie,implants dentaires albanie,Not started
1,Landing page,English,Dental Implants in Albania,dental implants albania,Not started
1,Article,English,Dental implants in Albania cost,dental implants albania cost,Not started
1,Video,English,How much do dental implants cost in Albania,dental implants albania cost,Not started
2,Article,French,Prix des implants dentaires en Albanie,prix implants dentaires albanie,Not started
2,Directory,English,Submit clinic to DentalBnB,dental tourism directory,Not started
2,Video,French,Pourquoi choisir l'Albanie pour implants dentaires,implants dentaires albanie,Not started
2,Outreach,French,Answer 10 Quora/Facebook questions,soins dentaires albanie,Not started
3,Landing page,Italian,Impianti dentali in Albania,impianti dentali albania,Not started
3,Article,English,Albania vs Turkey for dental implants,albania vs turkey dental implants,Not started
3,Video,Italian,Quanto costano gli impianti dentali in Albania,impianti dentali albania,Not started
3,Directory,English,Submit clinic to AirClinic,medical tourism albania,Not started
4,Landing page,Spanish,Implantes dentales en Albania,implantes dentales albania,Not started
4,Article,Italian,Costo impianti dentali Albania,costo impianti dentali albania,Not started
4,Video,Spanish,Precio de implantes dentales en Albania,implantes dentales albania,Not started
4,Outreach,Italian,Answer 10 Italian forum/social questions,dentista albania prezzi,Not started
5,Treatment page,English,All-on-4 in Albania,all on 4 albania,Not started
5,Treatment page,French,All-on-4 en Albanie,all on 4 albanie,Not started
5,Article,English,Is dental treatment in Albania safe,is dental treatment in albania safe,Not started
5,Video,English,What to send before getting a dental quote,dental quote x-ray,Not started
6,Article,Spanish,Precio implantes dentales Albania,precio implantes dentales albania,Not started
6,Directory,English,Submit clinic to Flytocure,medical tourism clinic listing,Not started
6,Outreach,Spanish,Answer 10 Spanish social questions,turismo dental albania,Not started
6,Video,French,Comment se passe le voyage dentaire en Albanie,soins dentaires albanie,Not started
7,Landing page,Belgium French,Soins dentaires en Albanie pour patients belges,soins dentaires albanie belge,Not started
7,Article,English,Dental crowns in Albania,dental crowns albania,Not started
7,Case study,English,Patient journey from consultation to final smile,dental tourism albania,Not started
7,Video,English,Clinic tour for international patients,dentist albania foreigners,Not started
8,Article,French,Albanie ou Turquie pour implants dentaires,albanie turquie implants dentaires,Not started
8,Article,Italian,Albania o Turchia per impianti dentali,albania turchia impianti dentali,Not started
8,Outreach,English,Pitch 10 Albania travel blogs,dental tourism albania,Not started
8,Video,Italian,Viaggio dentale in Albania,turismo dentale albania,Not started
9,Landing page,Scandinavian English,Dental care in Albania for Scandinavian patients,dental care albania scandinavia,Not started
9,Article,English,Best time to travel to Albania for dental treatment,dental tourism albania,Not started
9,Directory,English,Submit clinic to Treatment in Europe,treatment in europe dentistry,Not started
9,Video,English,How remote dental consultation works,online dental consultation,Not started
10,Article,French,Que faut-il envoyer pour un devis dentaire,photo radio devis dentaire,Not started
10,Article,Spanish,Albania o Turquia para implantes dentales,albania turquia implantes dentales,Not started
10,Outreach,French,Pitch 10 expat/travel communities,soins dentaires albanie,Not started
10,Video,Spanish,Consulta dental online antes de viajar,consulta dental albania,Not started
11,Case study,French,Patient francophone: parcours de soin en Albanie,implants dentaires albanie,Not started
11,Case study,Italian,Paziente italiano: percorso dentale in Albania,impianti dentali albania,Not started
11,Article,English,What affects dental implant cost in Albania,dental implant prices albania,Not started
11,Video,English,Implant brands and technology explained,dental implants albania,Not started
12,Optimization,All,Update pages from Search Console queries,seo optimization,Not started
12,Outreach,All,Follow up all directory and backlink outreach,backlinks dental tourism,Not started
12,Report,All,Review leads, rankings, conversion rate,kpi dashboard,Not started
12,Planning,All,Choose next 90-day keywords based on data,seo roadmap,Not started

